simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
0,Alpha Centauri,256,1,277.4847671769299,5453.323508271272,235.00036615460454,1038.22787041564,7.604829831012532,0.7,0,0,0,0,0.0014959649734944864,0.010230521440847453
1,Proxima B,212,1,35.54732011745891,617.9318517658287,69.04351896030686,339.0915855889589,8.6934230626607,0.7,0,0,0,0,0.0015233933482639587,0.009625385261072225
2,Alpha Centauri,306,1,3085.026222257595,85645.90844719381,2449.0970822312834,1001.3721851037427,4.643468561299961,0.7,3,0,0,0,0.0051154138617930086,0.06529377766879206
3,Proxima B,254,1,465.86362085894916,7238.823622605107,350.6014216620793,1203.7416350981996,15.19147224412232,0.7,2,0,0,0,0.0015308528121442471,0.009018731226556685
4,Gliese 667,260,1,45.30413244179748,806.5356901603676,64.68561860776535,459.47296748794565,9.952431272998181,0.7,1,0,0,0,0.0017929361022715332,0.010006823761261309
5,Xylos,252,1,294.2336080019344,3786.6144961187074,162.58140194337457,610.3491621770052,6.80703223153652,0.7,2,0,0,0,0.0014188594939323587,0.011192925777178368
6,TRAPPIST-1,260,1,219.6551095153,2294.2987414011536,80.04798098711407,670.5727500476562,6.9907603012749355,0.7,3,0,0,0,0.000825583712854958,0.008
7,Sol,258,1,890.1412340180977,15713.812446956099,585.9531765693437,1424.4450516189331,5.249865829511646,0.7,2,0,0,0,0.001859856931575639,0.015990098539573817
8,TRAPPIST-1,298,1,493.28957726746773,8412.503324226165,301.12284019754014,1274.5051499345743,7.76885276172709,0.7,1,0,0,0,0.007562548593901444,0.059041381434461436
9,TRAPPIST-1,265,1,648.8435969778512,10899.887040870624,582.2611247947804,1170.6397607626736,12.149608746862356,0.7,1,0,0,0,0.00199792764212807,0.01224475204309501
10,,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0011350264069769447,0.008
11,Sol,275,1,1193.6189465488767,32041.46699285022,691.0471329293515,1239.9461117313515,4.283498992073508,0.7,2,0,0,0,0.0025146338952840215,0.028922700454653897
12,Kepler-442,277,1,532.030274106998,8663.440901155538,656.8064322846888,710.3638102712118,8.49173424759646,0.7,2,0,0,0,0.0020748610823996547,0.021840124210645663
13,Gliese 667,261,1,738.6727768169379,12714.346628766343,424.9507165159224,1148.8304577797342,3.8827109606997965,0.7,1,0,0,0,0.0018318898745211098,0.01545204666592708
14,Proxima B,211,1,584.18540884583,9604.380995743188,259.22252596449897,1030.753067813046,5.4909174348185,0.7,1,0,0,0,0.0014097685559429833,0.01329795596674501
15,Epsilon Eridani,230,1,130.38422552808248,629.6614219213378,50.79814383792193,450.35234204548675,5.614706345080857,0.7,1,0,0,0,0.00043237820927963114,0.008
16,Barnard's Star,226,1,1364.1410542440003,29537.80785689761,538.5458936056186,1338.0795001968547,10.70146586664989,0.7,3,0,0,0,0.0019696772623296627,0.01846105827982011
17,Gliese 667,237,1,108.33804043783027,66.84418916098365,47.47367324756729,351.42913410876696,7.945538302231806,0.7,2,0,0,0,0.0007973750371190144,0.008
18,,182,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0008181461071384737,0.008
19,Tau Ceti,235,1,443.9359099529132,6782.157558157793,261.9492234804817,1214.7490152690139,6.402195837616409,0.7,1,0,0,0,0.001940376171272837,0.012979060232334524
20,Barnard's Star,214,1,18.937124321596905,307.1884545712089,64.39526887310143,332.7931623014693,3.985644299375631,0.7,0,0,0,0,0.006614335022333392,0.057460077869378276
21,Alpha Centauri,141,1,116.15390580059307,223.22725381227352,33.020313428751,272.5151010936707,2.8735611556697154,0.7,1,0,0,0,0.000480079492074037,0.008
22,Epsilon Eridani,288,1,796.1735770005901,18908.976535878443,458.74395995861414,1401.1619263473233,2.608722475524418,0.7,2,0,0,0,0.006486358567773519,0.051313552896831205
23,Kepler-442,264,1,492.49716999893667,7789.163914934675,288.11543035394686,1301.369601930016,8.765140997140264,0.7,3,0,0,0,0.0019200988767681965,0.0101722305958848
24,Gliese 667,204,1,446.6591563594823,6836.649718753241,253.49367265868935,747.0772541505149,7.227151181988746,0.7,2,0,0,0,0.0017831473760092414,0.009865863022494932
25,Xylos,335,1,4981.837043264997,97585.5592357326,2904.031394116722,1139.0890046531524,4.159416722850435,0.7,2,0,0,0,0.005107108126665755,0.0989738426450877
